"GEO_ID","NAME","B25046_001E","B25046_001M","B25046_002E","B25046_002M","B25046_003E","B25046_003M",
"Geography","Geographic Area Name","Estimate!!Aggregate number of vehicles available:","Margin of Error!!Aggregate number of vehicles available:","Estimate!!Aggregate number of vehicles available:!!Owner occupied","Margin of Error!!Aggregate number of vehicles available:!!Owner occupied","Estimate!!Aggregate number of vehicles available:!!Renter occupied","Margin of Error!!Aggregate number of vehicles available:!!Renter occupied",
"1500000US150030001081","Block Group 1; Census Tract 1.08; Honolulu County; Hawaii","820","214","667","192","153","108",
"1500000US150030001082","Block Group 2; Census Tract 1.08; Honolulu County; Hawaii","671","181","466","164","205","159",
"1500000US150030001083","Block Group 3; Census Tract 1.08; Honolulu County; Hawaii","1038","568","879","570","159","84",
"1500000US150030001101","Block Group 1; Census Tract 1.10; Honolulu County; Hawaii","1119","375","1032","354","87","99",
"1500000US150030001102","Block Group 2; Census Tract 1.10; Honolulu County; Hawaii","678","233","533","207","145","92",
"1500000US150030001103","Block Group 3; Census Tract 1.10; Honolulu County; Hawaii","1062","370","917","348","145","119",
"1500000US150030001104","Block Group 4; Census Tract 1.10; Honolulu County; Hawaii","null","null","null","null","null","null",
"1500000US150030001141","Block Group 1; Census Tract 1.14; Honolulu County; Hawaii","428","104","409","106","19","18",
"1500000US150030001142","Block Group 2; Census Tract 1.14; Honolulu County; Hawaii","687","219","495","98","192","205",
"1500000US150030001151","Block Group 1; Census Tract 1.15; Honolulu County; Hawaii","851","375","709","367","142","106",
"1500000US150030001152","Block Group 2; Census Tract 1.15; Honolulu County; Hawaii","385","174","385","174","-","**",
"1500000US150030001153","Block Group 3; Census Tract 1.15; Honolulu County; Hawaii","265","170","265","170","-","**",
"1500000US150030001161","Block Group 1; Census Tract 1.16; Honolulu County; Hawaii","1785","249","1314","288","471","222",
"1500000US150030001171","Block Group 1; Census Tract 1.17; Honolulu County; Hawaii","796","198","599","178","197","97",
"1500000US150030001181","Block Group 1; Census Tract 1.18; Honolulu County; Hawaii","1153","218","1042","219","111","97",
"1500000US150030001191","Block Group 1; Census Tract 1.19; Honolulu County; Hawaii","737","196","688","207","49","54",
"1500000US150030001192","Block Group 2; Census Tract 1.19; Honolulu County; Hawaii","null","null","null","null","null","null",
"1500000US150030001193","Block Group 3; Census Tract 1.19; Honolulu County; Hawaii","null","null","null","null","null","null",
"1500000US150030001201","Block Group 1; Census Tract 1.20; Honolulu County; Hawaii","580","193","376","166","204","113",
"1500000US150030001202","Block Group 2; Census Tract 1.20; Honolulu County; Hawaii","null","null","null","null","null","null",
"1500000US150030001203","Block Group 3; Census Tract 1.20; Honolulu County; Hawaii","740","152","667","154","73","68",
"1500000US150030001211","Block Group 1; Census Tract 1.21; Honolulu County; Hawaii","1298","268","1019","235","279","196",
"1500000US150030001212","Block Group 2; Census Tract 1.21; Honolulu County; Hawaii","null","null","null","null","null","null",
"1500000US150030001221","Block Group 1; Census Tract 1.22; Honolulu County; Hawaii","null","null","null","null","null","null",
"1500000US150030001222","Block Group 2; Census Tract 1.22; Honolulu County; Hawaii","null","null","null","null","null","null",
"1500000US150030001223","Block Group 3; Census Tract 1.22; Honolulu County; Hawaii","676","225","676","225","-","**",
"1500000US150030002001","Block Group 1; Census Tract 2; Honolulu County; Hawaii","538","185","400","143","138","130",
"1500000US150030002002","Block Group 2; Census Tract 2; Honolulu County; Hawaii","751","507","699","509","52","42",
"1500000US150030002003","Block Group 3; Census Tract 2; Honolulu County; Hawaii","null","null","null","null","null","null",
"1500000US150030002004","Block Group 4; Census Tract 2; Honolulu County; Hawaii","null","null","null","null","null","null",
"1500000US150030002005","Block Group 5; Census Tract 2; Honolulu County; Hawaii","933","290","730","222","203","179",
"1500000US150030002006","Block Group 6; Census Tract 2; Honolulu County; Hawaii","298","109","218","101","80","63",
"1500000US150030003011","Block Group 1; Census Tract 3.01; Honolulu County; Hawaii","1508","458","1324","470","184","112",
"1500000US150030003012","Block Group 2; Census Tract 3.01; Honolulu County; Hawaii","1153","236","1036","232","117","77",
"1500000US150030003021","Block Group 1; Census Tract 3.02; Honolulu County; Hawaii","1147","323","927","221","220","251",
"1500000US150030003022","Block Group 2; Census Tract 3.02; Honolulu County; Hawaii","811","204","707","202","104","65",
"1500000US150030004011","Block Group 1; Census Tract 4.01; Honolulu County; Hawaii","383","118","301","121","82","65",
"1500000US150030004012","Block Group 2; Census Tract 4.01; Honolulu County; Hawaii","1772","294","1720","288","52","52",
"1500000US150030004021","Block Group 1; Census Tract 4.02; Honolulu County; Hawaii","673","178","579","169","94","90",
"1500000US150030004022","Block Group 2; Census Tract 4.02; Honolulu County; Hawaii","1892","361","1600","323","292","212",
"1500000US150030004023","Block Group 3; Census Tract 4.02; Honolulu County; Hawaii","null","null","null","null","null","null",
"1500000US150030005001","Block Group 1; Census Tract 5; Honolulu County; Hawaii","442","150","373","141","69","72",
"1500000US150030005002","Block Group 2; Census Tract 5; Honolulu County; Hawaii","704","288","519","217","185","212",
"1500000US150030005003","Block Group 3; Census Tract 5; Honolulu County; Hawaii","null","null","null","null","null","null",
"1500000US150030005004","Block Group 4; Census Tract 5; Honolulu County; Hawaii","536","182","439","176","97","93",
"1500000US150030005005","Block Group 5; Census Tract 5; Honolulu County; Hawaii","473","158","312","119","161","110",
"1500000US150030006001","Block Group 1; Census Tract 6; Honolulu County; Hawaii","-","**","-","**","-","**",
"1500000US150030006002","Block Group 2; Census Tract 6; Honolulu County; Hawaii","963","313","905","309","58","49",
"1500000US150030007001","Block Group 1; Census Tract 7; Honolulu County; Hawaii","692","190","550","181","142","117",
"1500000US150030007002","Block Group 2; Census Tract 7; Honolulu County; Hawaii","391","128","313","138","78","50",
"1500000US150030007003","Block Group 3; Census Tract 7; Honolulu County; Hawaii","718","251","423","200","295","184",
"1500000US150030007004","Block Group 4; Census Tract 7; Honolulu County; Hawaii","626","233","424","194","202","156",
"1500000US150030008001","Block Group 1; Census Tract 8; Honolulu County; Hawaii","957","221","593","207","364","157",
"1500000US150030008002","Block Group 2; Census Tract 8; Honolulu County; Hawaii","787","210","585","187","202","123",
"1500000US150030008003","Block Group 3; Census Tract 8; Honolulu County; Hawaii","816","216","585","186","231","127",
"1500000US150030009011","Block Group 1; Census Tract 9.01; Honolulu County; Hawaii","697","188","527","162","170","121",
"1500000US150030009012","Block Group 2; Census Tract 9.01; Honolulu County; Hawaii","757","167","428","137","329","123",
"1500000US150030009031","Block Group 1; Census Tract 9.03; Honolulu County; Hawaii","695","178","514","160","181","110",
"1500000US150030009032","Block Group 2; Census Tract 9.03; Honolulu County; Hawaii","1061","222","704","252","357","157",
"1500000US150030009041","Block Group 1; Census Tract 9.04; Honolulu County; Hawaii","2097","1143","1740","1143","357","120",
"1500000US150030009051","Block Group 1; Census Tract 9.05; Honolulu County; Hawaii","857","267","790","269","67","46",
"1500000US150030009052","Block Group 2; Census Tract 9.05; Honolulu County; Hawaii","849","184","751","174","98","71",
"1500000US150030010001","Block Group 1; Census Tract 10; Honolulu County; Hawaii","1032","397","661","208","371","389",
"1500000US150030010002","Block Group 2; Census Tract 10; Honolulu County; Hawaii","1370","338","1224","328","146","92",
