"GEO_ID","NAME","B09019_001E","B09019_001M","B09019_002E","B09019_002M","B09019_003E","B09019_003M","B09019_004E","B09019_004M","B09019_005E","B09019_005M","B09019_006E","B09019_006M","B09019_007E","B09019_007M","B09019_008E","B09019_008M","B09019_009E","B09019_009M","B09019_010E","B09019_010M","B09019_011E","B09019_011M","B09019_012E","B09019_012M","B09019_013E","B09019_013M","B09019_014E","B09019_014M","B09019_015E","B09019_015M","B09019_016E","B09019_016M","B09019_017E","B09019_017M","B09019_018E","B09019_018M","B09019_019E","B09019_019M","B09019_020E","B09019_020M","B09019_021E","B09019_021M","B09019_022E","B09019_022M","B09019_023E","B09019_023M","B09019_024E","B09019_024M","B09019_025E","B09019_025M","B09019_026E","B09019_026M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!In households:","Margin of Error!!Total:!!In households:","Estimate!!Total:!!In households:!!Householder:","Margin of Error!!Total:!!In households:!!Householder:","Estimate!!Total:!!In households:!!Householder:!!Male:","Margin of Error!!Total:!!In households:!!Householder:!!Male:","Estimate!!Total:!!In households:!!Householder:!!Male:!!Living alone","Margin of Error!!Total:!!In households:!!Householder:!!Male:!!Living alone","Estimate!!Total:!!In households:!!Householder:!!Male:!!Not living alone","Margin of Error!!Total:!!In households:!!Householder:!!Male:!!Not living alone","Estimate!!Total:!!In households:!!Householder:!!Female:","Margin of Error!!Total:!!In households:!!Householder:!!Female:","Estimate!!Total:!!In households:!!Householder:!!Female:!!Living alone","Margin of Error!!Total:!!In households:!!Householder:!!Female:!!Living alone","Estimate!!Total:!!In households:!!Householder:!!Female:!!Not living alone","Margin of Error!!Total:!!In households:!!Householder:!!Female:!!Not living alone","Estimate!!Total:!!In households:!!Opposite-sex spouse","Margin of Error!!Total:!!In households:!!Opposite-sex spouse","Estimate!!Total:!!In households:!!Same-sex spouse","Margin of Error!!Total:!!In households:!!Same-sex spouse","Estimate!!Total:!!In households:!!Opposite-sex unmarried partner","Margin of Error!!Total:!!In households:!!Opposite-sex unmarried partner","Estimate!!Total:!!In households:!!Same-sex unmarried partner","Margin of Error!!Total:!!In households:!!Same-sex unmarried partner","Estimate!!Total:!!In households:!!Child:","Margin of Error!!Total:!!In households:!!Child:","Estimate!!Total:!!In households:!!Child:!!Biological child","Margin of Error!!Total:!!In households:!!Child:!!Biological child","Estimate!!Total:!!In households:!!Child:!!Adopted child","Margin of Error!!Total:!!In households:!!Child:!!Adopted child","Estimate!!Total:!!In households:!!Child:!!Stepchild","Margin of Error!!Total:!!In households:!!Child:!!Stepchild","Estimate!!Total:!!In households:!!Grandchild","Margin of Error!!Total:!!In households:!!Grandchild","Estimate!!Total:!!In households:!!Brother or sister","Margin of Error!!Total:!!In households:!!Brother or sister","Estimate!!Total:!!In households:!!Parent","Margin of Error!!Total:!!In households:!!Parent","Estimate!!Total:!!In households:!!Parent-in-law","Margin of Error!!Total:!!In households:!!Parent-in-law","Estimate!!Total:!!In households:!!Son-in-law or daughter-in-law","Margin of Error!!Total:!!In households:!!Son-in-law or daughter-in-law","Estimate!!Total:!!In households:!!Other relatives","Margin of Error!!Total:!!In households:!!Other relatives","Estimate!!Total:!!In households:!!Foster child","Margin of Error!!Total:!!In households:!!Foster child","Estimate!!Total:!!In households:!!Other nonrelatives","Margin of Error!!Total:!!In households:!!Other nonrelatives","Estimate!!Total:!!In group quarters","Margin of Error!!Total:!!In group quarters",
"1500000US150030041001","Block Group 1, Census Tract 41, Honolulu County, Hawaii","1463","267","1463","267","804","123","477","119","166","79","311","93","327","92","180","84","147","70","164","76","0","11","146","94","0","11","192","146","192","146","0","11","0","11","0","11","93","70","18","26","0","11","0","11","29","35","0","11","17","27","0","11",
"1500000US150030041002","Block Group 2, Census Tract 41, Honolulu County, Hawaii","1873","550","1865","550","889","162","494","132","137","76","357","121","395","141","285","123","110","80","270","122","0","11","74","67","0","11","364","305","364","305","0","11","0","11","0","11","53","66","39","40","45","65","0","11","52","74","0","11","79","65","8","6",
"1500000US150030041003","Block Group 3, Census Tract 41, Honolulu County, Hawaii","986","252","986","252","533","105","335","102","208","92","127","67","198","94","98","71","100","63","126","68","0","11","9","14","11","18","270","147","270","147","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","37","40","0","11",
"1500000US150030042001","Block Group 1, Census Tract 42, Honolulu County, Hawaii","1274","183","1274","183","784","100","393","108","146","77","247","84","391","103","261","80","130","65","169","57","11","16","78","45","0","11","157","67","157","67","0","11","0","11","0","11","0","11","21","31","0","11","0","11","0","11","0","11","54","69","0","11",
"1500000US150030042002","Block Group 2, Census Tract 42, Honolulu County, Hawaii","1993","250","1993","250","1046","110","648","132","277","89","371","96","398","84","169","56","229","80","444","95","0","11","33","29","7","12","256","93","256","93","0","11","0","11","0","11","0","11","64","50","0","11","0","11","31","36","0","11","112","100","0","11",
"1500000US150030043001","Block Group 1, Census Tract 43, Honolulu County, Hawaii","2022","576","1981","574","818","184","613","191","299","133","314","151","205","86","50","57","155","82","280","135","0","11","42","52","0","11","401","222","388","222","0","11","13","19","171","189","39","65","0","11","0","11","74","58","25","31","0","11","131","194","41","38",
"1500000US150030043002","Block Group 2, Census Tract 43, Honolulu County, Hawaii","2856","563","2856","563","992","149","440","165","88","61","352","156","552","170","145","103","407","155","563","195","0","11","82","65","0","11","782","243","733","225","16","27","33","60","188","156","0","11","16","28","0","11","25","36","0","11","0","11","208","258","0","11",
"1500000US150030043003","Block Group 3, Census Tract 43, Honolulu County, Hawaii","732","393","732","393","350","125","166","79","117","68","49","46","184","121","59","43","125","113","104","83","0","11","0","11","0","11","252","264","252","264","0","11","0","11","8","26","0","11","0","11","0","11","0","11","0","11","0","11","18","28","0","11",
"1500000US150030044001","Block Group 1, Census Tract 44, Honolulu County, Hawaii","2855","463","2855","463","732","79","322","58","84","32","238","60","410","70","84","44","326","56","320","61","2","3","64","44","3","4","782","183","752","177","29","26","1","2","351","138","109","40","101","44","18","15","104","46","194","62","0","11","75","31","0","11",
"1500000US150030044002","Block Group 2, Census Tract 44, Honolulu County, Hawaii","2420","470","2415","469","789","98","467","86","88","53","379","86","322","79","111","55","211","79","450","114","9","13","11","16","0","11","729","238","649","207","58","57","22","24","34","30","26","25","35","28","0","11","40","38","87","53","0","11","205","133","5","9",
"1500000US150030045001","Block Group 1, Census Tract 45, Honolulu County, Hawaii","1622","403","1622","403","518","104","365","92","56","44","309","88","153","89","32","37","121","79","381","96","0","11","0","11","0","11","461","209","461","209","0","11","0","11","141","82","0","11","22","35","33","38","30","46","0","11","0","11","36","40","0","11",
"1500000US150030045002","Block Group 2, Census Tract 45, Honolulu County, Hawaii","553","176","514","163","226","61","120","61","45","41","75","44","106","67","36","37","70","55","108","51","15","25","0","11","0","11","121","78","121","78","0","11","0","11","11","17","0","11","17","27","0","11","0","11","0","11","0","11","16","26","39","49",
"1500000US150030045003","Block Group 3, Census Tract 45, Honolulu County, Hawaii","869","267","841","267","261","62","116","57","18","28","98","50","145","59","12","19","133","63","180","62","0","11","29","37","0","11","159","75","141","70","18","31","0","11","29","46","13","21","0","11","0","11","16","25","0","11","0","11","154","143","28","13",
