objectid,totloss,st_areashape,st_perimetershape
167,7.4313595,9794.03111299318,395.859189369074
168,107.34525392,9791.97806528034,395.817696729852
169,4.55610696,9794.24461341708,395.863504019698
170,8.58006702,9794.21528179955,395.862911256956
171,10.10976033,9794.18083452095,395.862215110846
172,9.21512117,9794.15593760825,395.861711967414
173,16.91740191,9794.12626562365,395.861112323676
174,12.32171611,9794.08704351028,395.860319678854
175,0.20285002,9794.05703098886,395.859713150836
176,14.68546562,9791.98386114366,395.817813872025
177,0.01262735,9794.30531985583,395.864730833366
178,4.58553406,9794.27087251935,395.864034689134
179,2.41036092,9794.24597548664,395.863531545741
180,3.53878571,9794.1521838978,395.861636108496
181,0.29883381,9794.12217140614,395.861029583046
182,14.17876953,9791.98010792004,395.817738014304
183,3.88547746,9794.34112920764,395.865454501113
184,2.66608925,9794.30668182116,395.864758357218
185,8.94655764,9791.98112930331,395.817758657912
186,69.88957119,9791.9514606237,395.817159014082
187,6.76522025,9794.36704790943,395.865978289005
188,8.29808742,9794.3370350596,395.865371763019
189,82.8491051,9791.95214148361,395.817172775283
190,1.80082483,9791.92281328397,395.816580012237
191,0,9794.38785100092,395.866398695437
192,1.01574673,9794.36806945086,395.86599893299
193,93.40057275,9791.92383484617,395.816600659521
194,56.9588016,9791.88939165574,395.815904514386
195,1.0336428,9794.39876346584,395.866619223563
196,0.5907865,9794.3690910323,395.866019578186
197,43.6109298,9791.89518773353,395.816021661449
198,66.92781211,9791.86040408552,395.815318634207
199,89.77171866,9791.82596101192,395.814622489153
200,1.8265541,9794.40967583783,395.866839749789
201,115.43603178,9791.82698257519,395.814643136561
202,1.2723288,9794.42570394113,395.867163658605
203,21.55621872,9794.4008067179,395.866660515288
204,35.77214325,9791.82800414716,395.814663783941
205,1.0721056,9794.46628909459,395.867983834968
206,11.85650546,9794.43150077628,395.867280805702
207,2.14751377,9794.39671275302,395.866577781072
208,27.22905799,9791.83891534126,395.814884315307
209,85.68831319,9791.80447233267,395.814188170881
210,0.23432114,9794.49220813527,395.868507626263
211,0.48443271,9794.46219515655,395.867901101548
212,29.1997588,9791.83516276684,395.814808470224
213,127.80096285,9791.80071977825,395.814112326142
214,0.04666622,9794.53245281537,395.869320919323
215,0,9794.49800525283,395.868624778595
216,47.77898783,9791.79662636863,395.814029592115
217,0.77518398,9794.58804492699,395.870444361388
218,0.92231465,9794.55359719685,395.869748219322
219,0,9794.52869964069,395.869245072539
220,30.73210153,9791.8075376401,395.814250125347
221,54.64737349,9791.7778691942,395.81365048118
222,0.68866218,9794.6238552725,395.871168038795
223,0.91998736,9794.58906683026,395.870465012753
224,92.08159205,9791.77411662375,395.813574635863
225,0.08913157,9794.68933859338,395.872491362488
226,3.49779482,9794.64465907981,395.871588454384
227,1.31923036,9794.62487722894,395.871188691199
228,46.96073043,9791.77991293208,395.813691788149
229,0.31674825,9794.83360956283,395.875406855699
230,0.00543771,9794.73981550504,395.873511425215
231,5.52475696,9794.71491779233,395.873008280228
232,1.760016,9794.68046986085,395.872312138527
233,1.36065029,9794.64568131495,395.871609112196
234,11.90176624,9791.7413770149,395.812912917565
235,2.2895685,9791.71170862003,395.812313272302
236,1.51724836,9794.83019719627,395.87533789716
237,2.71928125,9794.80018347778,395.874731368112
238,4.55019387,9794.77528554849,395.874228219994
239,1.53842359,9794.74561250596,395.873628573836
240,0,9791.7127306491,395.812333929142
241,1.50006061,9791.68817734053,395.811837667254
242,0.22865945,9794.87044273819,395.876151193706
243,4.47097951,9794.84042889889,395.87554466326
244,1.90730239,9791.67931005587,395.81165844494
245,0.06010568,9794.89602199445,395.876668107621
246,17.33771962,9794.86668969327,395.876075350775
247,2.28188603,9794.83701656021,395.875475705585
248,0,9791.6803319481,395.811679099152
249,5.95848764,9794.92705817784,395.877295296112
250,1.49725353,9794.8973850106,395.876695651878
251,1.6438029,9794.87248711737,395.876192507113
252,0,9791.6813542524,395.811699761488
253,0.33998841,9794.96252888235,395.878012097475
254,12.96575272,9794.92808041793,395.877315953727
255,0,9791.71715974475,395.812423448237
256,0.37298371,9795.1074834327,395.880941363642
257,0.54355451,9795.09213557694,395.880631212594
258,4.61701761,9795.04779583015,395.879735189113
259,1.30893667,9794.99834021122,395.87873578087
260,13.50572806,9794.95877582949,395.87793625479
261,1.85400369,9794.92910270437,395.877336612479
262,28.60767743,9791.71340753719,395.812347610171
263,0,9795.2023014248,395.882857450087
264,2.34238171,9795.17774387152,395.882361190827
265,2.11051692,9795.14772963198,395.881754661858
266,0.44601159,9795.11328090838,395.881058519683
267,2.17860525,9795.04881820788,395.879755849382
268,5.3700972,9795.01948564824,395.879163092037
269,10.57321668,9794.99458744342,395.878659944111
270,0.8472174,9794.96013917905,395.877963805697
271,10.68598959,9791.71920428026,395.812464771557
272,0.13795668,9795.2132151805,395.88307799528
273,1.76561739,9795.17399130978,395.882285359028
274,9.27758551,9791.71545231427,395.812388938381
275,123.83467284,9791.68544319815,395.811782405742
276,14.0262238,9791.65577499355,395.811182762762
