"GEO_ID","NAME","P5_001N","P5_002N","P5_003N","P5_004N","P5_005N","P5_006N","P5_007N","P5_008N","P5_009N","P5_010N","P5_011N","P5_012N","P5_013N","P5_014N","P5_015N","P5_016N","P5_017N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Not Hispanic or Latino:"," !!Total:!!Not Hispanic or Latino:!!White alone"," !!Total:!!Not Hispanic or Latino:!!Black or African American alone"," !!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone"," !!Total:!!Not Hispanic or Latino:!!Asian alone"," !!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Not Hispanic or Latino:!!Some Other Race alone"," !!Total:!!Not Hispanic or Latino:!!Two or More Races"," !!Total:!!Hispanic or Latino:"," !!Total:!!Hispanic or Latino:!!White alone"," !!Total:!!Hispanic or Latino:!!Black or African American alone"," !!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone"," !!Total:!!Hispanic or Latino:!!Asian alone"," !!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Hispanic or Latino:!!Some Other Race alone"," !!Total:!!Hispanic or Latino:!!Two or More Races",
"1000000US150030086251001","Block 1001, Block Group 1, Census Tract 86.25, Honolulu County, Hawaii","519","483","30","0","0","335","66","0","52","36","0","0","0","6","0","8","22",
"1000000US150030086251002","Block 1002, Block Group 1, Census Tract 86.25, Honolulu County, Hawaii","115","92","2","0","0","80","3","0","7","23","10","0","0","0","1","0","12",
"1000000US150030086251003","Block 1003, Block Group 1, Census Tract 86.25, Honolulu County, Hawaii","116","108","0","1","0","97","0","0","10","8","0","0","0","4","0","0","4",
"1000000US150030086251004","Block 1004, Block Group 1, Census Tract 86.25, Honolulu County, Hawaii","54","40","0","0","0","14","7","0","19","14","0","0","1","1","4","0","8",
"1000000US150030086251005","Block 1005, Block Group 1, Census Tract 86.25, Honolulu County, Hawaii","70","62","0","0","0","46","0","0","16","8","0","0","2","3","0","0","3",
"1000000US150030086251006","Block 1006, Block Group 1, Census Tract 86.25, Honolulu County, Hawaii","100","92","6","1","0","62","3","0","20","8","3","0","0","0","0","2","3",
"1000000US150030086251007","Block 1007, Block Group 1, Census Tract 86.25, Honolulu County, Hawaii","99","90","6","2","0","65","1","0","16","9","0","0","0","0","0","0","9",
"1000000US150030086251008","Block 1008, Block Group 1, Census Tract 86.25, Honolulu County, Hawaii","85","73","0","0","0","50","2","0","21","12","0","0","0","1","0","4","7",
"1000000US150030086251009","Block 1009, Block Group 1, Census Tract 86.25, Honolulu County, Hawaii","99","89","2","0","0","74","4","0","9","10","0","0","0","4","0","0","6",
"1000000US150030086252000","Block 2000, Block Group 2, Census Tract 86.25, Honolulu County, Hawaii","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US150030086252001","Block 2001, Block Group 2, Census Tract 86.25, Honolulu County, Hawaii","180","153","35","3","0","62","29","6","18","27","5","0","0","0","1","5","16",
"1000000US150030086252002","Block 2002, Block Group 2, Census Tract 86.25, Honolulu County, Hawaii","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US150030086252003","Block 2003, Block Group 2, Census Tract 86.25, Honolulu County, Hawaii","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1000000US150030086252004","Block 2004, Block Group 2, Census Tract 86.25, Honolulu County, Hawaii","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
