X,Y,OBJECTID,ENABLED,ANCILLARYROLE,SEWERID,BASINID,PROJECTID,STATUS,OWNER,DATEINSTALLED,DATEDIGITIZED,DATEMODIFIED,ADDRESS,TANKCAPACITY,GLOBALID,PUMPTYPE,TMK,LPPUMPSUBTYPE,NO_PUMPS,NEIGHBORHOOD,GROUNDELEV
-157.926665842,21.6478525000001,148,1,0,4041499,LA,6539,ACT,LIC,2009/11/06 00:00:00+00,,2008/09/05 00:00:00+00,55-559  MOANA ST,,{A306B222-9B8D-46B6-941B-439DD289E33B},LP,55012101,1,,LAIE,
-157.926912074,21.6461221160001,149,1,0,4041521,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-534A MOANA ST,,{FFC85246-A18B-43B2-808C-32D697C2547E},LP,55012028,1,,LAIE,
-157.925608653,21.6458884800001,150,1,0,4041538,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-517  MOANA ST,,{2D698B4E-244E-4F78-A9AA-448AD0CA1686},LP,55012042,1,,LAIE,
-157.926428627,21.6468530970001,151,1,0,4041546,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2021/03/02 11:10:35+00,55-539  MOANA ST,118,{D63B922E-021E-4962-ADCC-8AFCF43902AB},LP,55012049,1,1,LAIE,
-157.92565974,21.6471967640001,152,1,0,4041556,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-526  IOSEPA ST,,{F6F492FC-E5EC-473B-ACD1-2D7F53C6F085},LP,55012060,1,,LAIE,
-157.925663747,21.646861675,153,1,0,4041558,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-518  IOSEPA ST,,{ECE22106-3641-4578-8164-630E6D469104},LP,55012062,1,,LAIE,
-157.924287421,21.647639299,154,1,0,4041597,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-146  KULANUI ST,,{C661E680-A18C-400B-8883-015AA73DCD44},LP,55013085,1,,LAIE,
-157.924038196,21.646769455,155,1,0,4041612,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-490  PALEKANA ST,,{7A6B2AC7-873A-4BDE-949C-144F5A8FCFDE},LP,55013099,1,,LAIE,
-157.924408808,21.6455473550001,156,1,0,4041637,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-483  MOANA ST,,{ED2FE091-25F3-422D-BF8C-F5465662FCDD},LP,55013105,1,,LAIE,
-157.921580433,21.645989715,157,1,0,4041660,LA,6539,ACT,LIC,2005/12/30 00:00:00+00,,2008/09/05 00:00:00+00,55-443  IOSEPA ST,,{20B41E5F-CE26-41CB-A7F0-4C6E48ACD383},LP,55014026,1,,LAIE,
