"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"1500000US150010210141","Block Group 1; Census Tract 210.14; Hawaii County; Hawaii","487","234","0","12","47","74","0","12","0","12","0","12","26","42","0","12","45","72","0","12","69","112","0","12","173","155","127","123","0","12","0","12","0","12",
"1500000US150010210142","Block Group 2; Census Tract 210.14; Hawaii County; Hawaii","852","279","47","75","0","12","48","77","0","12","0","12","75","12","0","12","67","103","52","79","31","51","60","74","260","199","46","75","22","33","80","101","64","75",
"1500000US150010210143","Block Group 3; Census Tract 210.14; Hawaii County; Hawaii","1253","289","63","81","45","75","86","95","28","44","0","12","104","118","0","12","58","81","0","12","0","12","150","167","248","150","116","103","49","77","79","93","227","171",
"1500000US150010210151","Block Group 1; Census Tract 210.15; Hawaii County; Hawaii","783","244","34","53","30","51","64","99","35","58","65","99","66","105","71","115","51","79","0","12","29","47","49","77","26","37","87","102","0","12","124","129","52","81",
"1500000US150010210152","Block Group 2; Census Tract 210.15; Hawaii County; Hawaii","1034","334","24","40","0","12","28","62","0","12","0","12","138","227","0","12","143","161","0","12","56","90","0","12","230","197","192","215","75","112","148","147","0","12",
"1500000US150010210161","Block Group 1; Census Tract 210.16; Hawaii County; Hawaii","874","219","55","41","28","44","45","51","45","47","80","63","0","12","0","12","0","12","105","90","0","12","42","49","103","109","107","73","240","162","3","6","21","33",
"1500000US150010210162","Block Group 2; Census Tract 210.16; Hawaii County; Hawaii","769","164","25","28","91","63","12","16","60","49","22","26","38","40","70","67","12","21","29","32","47","46","126","62","64","64","28","33","97","111","15","21","33","33",
"1500000US150010210163","Block Group 3; Census Tract 210.16; Hawaii County; Hawaii","255","111","46","54","48","57","0","12","0","12","32","46","0","12","0","12","0","12","0","12","13","21","21","33","22","32","22","32","51","63","0","12","0","12",
"1500000US150010210171","Block Group 1; Census Tract 210.17; Hawaii County; Hawaii","334","118","59","39","34","22","6","11","81","64","14","16","6","12","6","8","4","7","10","15","9","16","58","54","21","19","16","17","3","5","0","12","7","11",
"1500000US150010210172","Block Group 2; Census Tract 210.17; Hawaii County; Hawaii","437","138","74","47","50","42","32","28","35","42","7","13","18","22","12","14","4","7","14","20","17","22","76","81","16","16","64","63","4","7","6","11","8","12",
"1500000US150010210173","Block Group 3; Census Tract 210.17; Hawaii County; Hawaii","961","214","28","25","10","5","16","17","53","78","0","12","10","17","174","101","58","88","0","12","171","140","126","110","121","114","151","121","0","12","32","47","11","16",
"1500000US150010211011","Block Group 1; Census Tract 211.01; Hawaii County; Hawaii","38","32","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","16","25","11","15","11","15",
"1500000US150010211012","Block Group 2; Census Tract 211.01; Hawaii County; Hawaii","808","148","111","58","60","51","94","61","120","56","12","10","24","17","45","31","7","9","23","20","38","34","39","24","68","29","76","59","33","24","8","8","50","33",
"1500000US150010211013","Block Group 3; Census Tract 211.01; Hawaii County; Hawaii","556","164","104","70","23","21","130","108","32","28","9","13","37","53","0","12","3","4","2","4","44","47","80","50","11","15","36","32","34","45","11","16","0","12",
"1500000US150010211071","Block Group 1; Census Tract 211.07; Hawaii County; Hawaii","383","88","86","55","2","4","44","41","19","22","6","7","7","9","12","13","2","4","2","3","114","45","32","32","34","24","3","6","11","14","9","15","0","12",
"1500000US150010211081","Block Group 1; Census Tract 211.08; Hawaii County; Hawaii","685","268","32","33","33","52","0","12","78","57","17","25","130","138","31","26","48","44","0","12","15","25","37","43","89","112","75","91","0","12","43","68","57","67",
"1500000US150010211082","Block Group 2; Census Tract 211.08; Hawaii County; Hawaii","1002","189","141","113","91","84","47","70","37","45","40","45","64","81","86","73","11","17","20","27","91","71","103","91","164","126","29","33","28","31","15","25","35","42",
"1500000US150010211083","Block Group 3; Census Tract 211.08; Hawaii County; Hawaii","731","170","133","58","57","45","37","29","62","52","29","33","22","22","81","79","47","36","30","41","21","17","35","34","74","81","54","40","32","30","6","7","11","17",
"1500000US150010212031","Block Group 1; Census Tract 212.03; Hawaii County; Hawaii","536","140","31","36","0","12","20","24","100","97","37","35","36","34","0","12","11","19","13","20","47","37","53","43","72","48","41","37","33","41","30","35","12","18",
"1500000US150010212032","Block Group 2; Census Tract 212.03; Hawaii County; Hawaii","902","326","122","110","98","121","134","143","22","34","0","12","0","12","0","12","171","150","0","12","61","91","230","222","64","93","0","12","0","12","0","12","0","12",
"1500000US150010212033","Block Group 3; Census Tract 212.03; Hawaii County; Hawaii","703","245","55","82","138","123","0","12","93","85","18","29","87","112","59","89","51","47","0","12","0","12","0","12","53","78","32","51","117","112","0","12","0","12",
"1500000US150010212034","Block Group 4; Census Tract 212.03; Hawaii County; Hawaii","110","74","3","5","0","12","3","4","5","8","0","12","0","12","27","45","0","12","0","12","4","8","17","17","8","9","0","12","43","54","0","12","0","12",
"1500000US150010212041","Block Group 1; Census Tract 212.04; Hawaii County; Hawaii","237","76","17","14","3","5","20","16","7","8","7","7","27","38","15","14","0","12","20","26","16","11","25","15","24","17","39","46","7","10","7","8","3","6",
"1500000US150010212042","Block Group 2; Census Tract 212.04; Hawaii County; Hawaii","144","85","31","45","0","12","0","12","0","12","0","12","42","62","17","23","0","12","0","12","54","53","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US150010212043","Block Group 3; Census Tract 212.04; Hawaii County; Hawaii","692","119","41","28","48","41","5","7","22","16","102","94","33","16","8","8","24","18","4","6","68","46","61","39","80","65","53","35","34","22","34","28","75","55",
"1500000US150010213001","Block Group 1; Census Tract 213; Hawaii County; Hawaii","538","192","17","21","7","12","0","12","22","36","36","39","0","12","0","12","0","12","6","9","21","24","43","43","46","43","86","111","20","32","35","39","199","156",
"1500000US150010213002","Block Group 2; Census Tract 213; Hawaii County; Hawaii","552","176","50","77","24","39","0","12","0","12","9","13","0","12","0","12","39","43","0","12","67","61","87","60","36","37","31","42","101","80","44","41","64","50",
"1500000US150010213003","Block Group 3; Census Tract 213; Hawaii County; Hawaii","1048","239","151","106","0","12","97","88","6","9","20","32","37","41","13","14","7","11","50","81","53","54","81","61","69","59","123","89","46","38","13","16","282","187",
"1500000US150010213004","Block Group 4; Census Tract 213; Hawaii County; Hawaii","336","197","0","12","0","12","0","12","21","32","93","115","0","12","0","12","0","12","110","124","20","30","0","12","0","12","23","37","69","83","0","12","0","12",
"1500000US150010214021","Block Group 1; Census Tract 214.02; Hawaii County; Hawaii","366","75","14","21","0","12","8","13","6","8","0","12","4","9","0","12","0","12","21","24","43","26","25","21","49","43","35","23","23","22","42","25","96","42",
"1500000US150010214022","Block Group 2; Census Tract 214.02; Hawaii County; Hawaii","872","144","62","96","108","59","16","17","10","14","48","64","14","20","15","19","44","46","7","11","64","51","68","48","72","54","88","67","19","18","105","67","132","79",
"1500000US150010215021","Block Group 1; Census Tract 215.02; Hawaii County; Hawaii","670","137","46","49","0","12","5","9","9","14","32","31","37","44","63","53","0","12","57","56","122","111","24","27","79","49","50","29","12","14","56","39","78","61",
"1500000US150010215022","Block Group 2; Census Tract 215.02; Hawaii County; Hawaii","730","139","12","16","0","12","0","12","8","11","0","12","44","53","34","42","26","39","0","12","30","23","87","56","106","72","123","69","52","40","112","68","96","64",
"1500000US150010215023","Block Group 3; Census Tract 215.02; Hawaii County; Hawaii","423","133","5","8","0","12","0","12","28","46","35","38","77","76","0","12","0","12","0","12","19","21","0","12","48","35","30","26","48","43","49","42","84","61",
"1500000US150010215041","Block Group 1; Census Tract 215.04; Hawaii County; Hawaii","830","134","37","37","41","42","0","12","8","13","69","50","24","37","58","62","10","16","0","12","17","17","49","43","169","83","126","62","82","47","59","43","81","55",
"1500000US150010215042","Block Group 2; Census Tract 215.04; Hawaii County; Hawaii","904","209","8","9","21","19","41","30","42","38","66","46","24","20","41","39","17","16","22","16","51","30","94","74","224","157","50","25","38","23","108","67","57","30",
"1500000US150010215101","Block Group 1; Census Tract 215.10; Hawaii County; Hawaii","676","183","0","12","56","44","41","66","0","12","0","12","0","12","43","46","0","12","15","23","4","12","59","68","124","91","88","59","59","59","55","45","132","95",
"1500000US150010215102","Block Group 2; Census Tract 215.10; Hawaii County; Hawaii","290","84","10","16","7","12","4","6","45","41","30","36","0","12","0","12","19","22","0","12","20","20","22","25","30","27","15","16","38","32","0","12","50","51",
"1500000US150010215103","Block Group 3; Census Tract 215.10; Hawaii County; Hawaii","530","166","51","52","0","12","7","13","18","24","0","12","8","13","13","18","0","12","0","12","19","24","73","80","103","80","0","12","55","47","49","45","134","130",
"1500000US150010215104","Block Group 4; Census Tract 215.10; Hawaii County; Hawaii","185","75","3","5","13","21","0","12","25","33","0","12","0","12","18","28","0","12","0","12","12","10","39","44","10","11","20","18","0","12","4","6","41","40",
"1500000US150010215111","Block Group 1; Census Tract 215.11; Hawaii County; Hawaii","612","136","21","27","14","14","7","10","83","85","28","43","0","12","3","7","6","9","4","8","38","35","72","73","61","52","38","29","69","50","79","51","89","59",
