"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"1500000US150010220001","Block Group 1, Census Tract 220, Hawaii County, Hawaii","497","105","48","50","18","30","0","12","58","55","14","15","16","22","16","19","63","47","2","4","16","25","54","36","71","57","70","49","0","12","27","21","24","26",
"1500000US150010220002","Block Group 2, Census Tract 220, Hawaii County, Hawaii","351","71","7","9","27","27","20","14","10","10","4","8","4","7","30","25","19","30","0","12","31","28","59","38","50","37","58","36","4","7","17","15","11","13",
"1500000US150010221021","Block Group 1, Census Tract 221.02, Hawaii County, Hawaii","206","69","17","26","16","21","16","22","0","12","5","7","6","8","0","12","13","22","15","23","41","35","5","7","27","24","24","23","7","9","14","19","0","12",
"1500000US150010221022","Block Group 2, Census Tract 221.02, Hawaii County, Hawaii","465","101","54","63","25","39","40","35","17","19","36","34","38","32","0","12","8","11","17","26","6","10","77","61","62","39","29","34","10","19","23","19","23","26",
"1500000US150019900000","Block Group 0, Census Tract 9900, Hawaii County, Hawaii","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US150019901000","Block Group 0, Census Tract 9901, Hawaii County, Hawaii","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US150019903000","Block Group 0, Census Tract 9903, Hawaii County, Hawaii","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US150019904000","Block Group 0, Census Tract 9904, Hawaii County, Hawaii","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US150019905000","Block Group 0, Census Tract 9905, Hawaii County, Hawaii","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US150019906000","Block Group 0, Census Tract 9906, Hawaii County, Hawaii","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US150019907000","Block Group 0, Census Tract 9907, Hawaii County, Hawaii","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US150019908000","Block Group 0, Census Tract 9908, Hawaii County, Hawaii","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US150019909000","Block Group 0, Census Tract 9909, Hawaii County, Hawaii","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US150019910000","Block Group 0, Census Tract 9910, Hawaii County, Hawaii","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US150019911000","Block Group 0, Census Tract 9911, Hawaii County, Hawaii","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US150019912000","Block Group 0, Census Tract 9912, Hawaii County, Hawaii","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US150019913000","Block Group 0, Census Tract 9913, Hawaii County, Hawaii","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US150019914000","Block Group 0, Census Tract 9914, Hawaii County, Hawaii","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US150019915000","Block Group 0, Census Tract 9915, Hawaii County, Hawaii","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US150019916000","Block Group 0, Census Tract 9916, Hawaii County, Hawaii","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US150019917000","Block Group 0, Census Tract 9917, Hawaii County, Hawaii","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US150030001071","Block Group 1, Census Tract 1.07, Honolulu County, Hawaii","505","61","13","11","21","28","0","12","12","15","0","12","0","12","2","4","0","12","0","12","0","12","22","31","89","45","89","35","91","52","111","42","55","26",
"1500000US150030001072","Block Group 2, Census Tract 1.07, Honolulu County, Hawaii","421","78","11","12","0","12","6","9","5","7","6","8","6","8","7","9","0","12","9","11","33","28","7","11","9","9","70","37","42","43","51","26","159","51",
"1500000US150030001081","Block Group 1, Census Tract 1.08, Honolulu County, Hawaii","435","95","21","28","0","12","0","12","0","12","6","9","9","14","0","12","2","3","10","16","8","12","22","33","28","28","33","30","36","45","97","39","163","69",
"1500000US150030001082","Block Group 2, Census Tract 1.08, Honolulu County, Hawaii","287","69","24","30","0","12","0","12","0","12","16","19","0","12","23","35","0","12","8","12","25","28","28","25","20","26","10","14","24","25","62","57","47","35",
"1500000US150030001083","Block Group 3, Census Tract 1.08, Honolulu County, Hawaii","509","171","4","8","0","12","45","46","0","12","0","12","7","11","0","12","25","27","4","6","0","12","20","22","45","33","37","24","48","34","198","177","76","49",
"1500000US150030001101","Block Group 1, Census Tract 1.10, Honolulu County, Hawaii","516","111","0","12","0","12","0","12","9","15","0","12","22","31","0","12","0","12","0","12","44","44","35","33","38","34","150","94","27","24","70","40","121","62",
"1500000US150030001102","Block Group 2, Census Tract 1.10, Honolulu County, Hawaii","321","62","21","33","2","3","0","12","0","12","0","12","0","12","8","14","0","12","0","12","9","13","15","18","56","48","71","67","22","22","50","34","67","40",
"1500000US150030001103","Block Group 3, Census Tract 1.10, Honolulu County, Hawaii","386","84","0","12","0","12","24","28","7","12","8","12","10","15","0","12","8","13","0","12","33","38","25","21","38","32","61","50","32","26","44","40","96","52",
"1500000US150030001104","Block Group 4, Census Tract 1.10, Honolulu County, Hawaii","172","50","0","12","8","13","0","12","0","12","0","12","0","12","9","14","8","13","0","12","0","12","0","12","10","14","17","20","0","12","66","38","54","31",
