X,Y,objectid,wwtp_name,county,permit,uic_num,tmk,type,owner_type,class,atu_date,lat_dd,long_dd,shape
-157.886933598861,21.3104805759756,104,Hale Mauliola Temporary Homeless Shelter,C&C Honolulu,298,,115041334,WWTP,Public,,10/11/2019,21.310484,-157.886948,
-158.139678611236,21.5829295898418,105,68-186 Au Street,C&C Honolulu,299,,168011035,WWTP,Private,,NULL,21.582933,-158.139693,
-155.019174488135,19.713675538651,106,Hilo WWTP,Hawaii,302,,321013013,WWTP,Public,4,NULL,19.713679,-155.019189,
-156.015214510223,19.6603025161873,107,Kealakehe,Hawaii,303,,374008058,Reuse R2,Public,3,NULL,19.660306,-156.015229,
-155.205145497402,19.9674185463624,108,Kapehu Wastewater Treatment Plant,Hawaii,304,,335007035,WWTP,Public,2,NULL,19.967422,-155.20516,
-155.094187491569,19.8322925421078,109,Kulaimano,Hawaii,305,,328007075,WWTP,Public,3,NULL,19.832296,-155.094202,
-155.087024490889,19.7826435399899,110,Papaikou STP,Hawaii,306,,327004126,WWTP,Public,3,NULL,19.782647,-155.087039,
-159.584635675573,21.9018055966382,111,Eleele WWTP,Kauai,307,UK-1212,421001043,WWTP,Public,4,NULL,21.901809,-159.58465,
-159.351138665842,21.9692086033839,112,Lihue Wastewater Treatment Plant,Kauai,308,UK-1213,435001030,Reuse R1,Public,4,3/24/2010,21.969212,-159.351153,
-159.336626666316,22.039375608349,113,Wailua WWTP,Kauai,309,,439006019,Reuse R2,Public,4,NULL,22.039379,-159.336641,
-159.678293681338,21.9630336002671,114,Waimea Wastewater Treatment Plant,Kauai,310,UK-2405,412006036,WWTP,Public,4,4/27/2018,21.963037,-159.678308,
-156.923011558288,20.8184155597502,115,Lanai Wastewater Reclamation Facility,Maui,311,,249014015,WWTP,Public,1,NULL,20.818419,-156.923026,
-156.444237542851,20.7354515627456,116,Kihei WWTP,Maui,312,UM-1396,222024010,Reuse R1,Public,4,1/16/1992,20.735455,-156.444252,
-156.687074553102,20.9457945701447,117,Lahaina WWTP,Maui,313,UM-1357,244002029,Reuse R1,Public,4,NULL,20.945798,-156.687089,
-156.456230545442,20.8955965702542,118,Wailuku-Kahului,Maui,314,UM-1398,238001188,Reuse R2,Public,4,NULL,20.8956,-156.456245,
-157.027169566474,21.0911855733038,119,Kaunakakai Wastewater Treatment Plant,Maui,315,UM-1397,253005002,WWTP,Public,3,2/11/2008,21.091189,-157.027184,
-158.036983604351,21.3301965751233,120,Honouliuli WWTP,C&C Honolulu,317,,191013007,WWTP,Public,4,NULL,21.3302,-158.036998,
-158.039938604318,21.3299865752633,121,Honouliuli Water Recycling Facility,C&C Honolulu,317A,,191013007,Reuse R1,Public,4,9/8/1999,21.32999,-158.039953,
-157.953962605443,21.6839405981196,122,Kahuku WWTP,C&C Honolulu,318,UO-1257,156002024,WWTP,Public,3,NULL,21.683944,-157.953977,
-157.7523525957,21.4273645846144,123,Kailua,C&C Honolulu,319,,144011081,WWTP,Public,4,NULL,21.427368,-157.752367,
-158.112057610483,21.5756845892797,124,"Paalaa Kai Wastewater Treatment Plant; 768-4534 or 4535",C&C Honolulu,322,UO-1258,166034033,WWTP,Public,3,2/21/1980,21.575688,-158.112072,
-157.882187597983,21.3058395757018,125,Sand Island WWTP/Synagro,C&C Honolulu,323,,115041005,Biosolids,Public,4,NULL,21.305843,-157.882202,
-158.039278606456,21.4914775846468,126,Wahiawa Wastewater Treatment Plant,C&C Honolulu,324,,173007002,Reuse R2,Public,4,NULL,21.491481,-158.039293,
-158.183056611571,21.4339215802766,127,Waianae WWTP,C&C Honolulu,325,,186001044,WWTP,Public,4,NULL,21.433925,-158.183071,
-157.705446592422,21.3388385798598,128,Waimanalo Wastewater Treatment Plant,C&C Honolulu,326,UO-1259,141009270,WWTP,Public,4,NULL,21.338842,-157.705461,
-158.044123606248,21.4761865843881,129,Schofield WWTP,C&C Honolulu,328,,177001001,Reuse R1,Public,4,2/2/2007,21.47619,-158.044138,
-157.75840259596,21.4383665846777,130,Marine Corps Base Hawaii - Kaneohe,C&C Honolulu,330,,144008001,Reuse R2,Public,3,NULL,21.43837,-157.758417,
-157.963149601757,21.3268475753819,131,"NavFac Hawaii, fka Fort Kamehameha, Pearl Harbor - NPDES",C&C Honolulu,331,,199001013,WWTP,Public,4,NULL,21.326851,-157.963164,
-159.781097686454,22.0287506041086,132,Pacific Missile Range Facility,Kauai,333,,412002013,WWTP,Public,2,NULL,22.028754,-159.781112,
-159.658377681168,22.1301216118271,133,Kokee State Park,Kauai,334,,459001001,WWTP,Public,2,NULL,22.130125,-159.658392,
-159.354455666487,21.9594456028464,134,Banyan Harbor Resort,Kauai,401,UK-1249,432005008,WWTP,Private,2,7/9/1979,21.959449,-159.35447,
-159.408799670462,22.2118526201504,135,Kilauea Lighthouse Village Market & Café (Kauai),Kauai,402,,452023028,WWTP,Private,2,7/19/2019,22.211856,-159.408814,
-159.545668677599,22.2221136199596,136,Opakapaka Grill and Bar,Kauai,403,,458011013,WWTP,Public,1,NULL,22.222117,-159.545683,
-159.497387674792,22.2032546183369,137,Ching Young Village,Kauai,404,UK-2232,455002040,WWTP,Private,2,5/20/1982,22.203258,-159.497402,
-159.451398670071,21.8744815962883,138,Hale Kahanalu Apartments,Kauai,405,UK-2009,428018027,WWTP,Private,1,2/26/1974,21.874485,-159.451413,
-159.545114676721,22.2215956192015,139,Hanalei Colony Resort,Kauai,406,UK-1388,458011027,WWTP,Private,1,NULL,22.221599,-159.545129,
-159.437238669272,21.8810775962062,140,Hyatt Regency Kauai - Grand Hyatt,Kauai,409,UK-1515,429001009,Reuse R2,Private,2,9/17/1990,21.881081,-159.437253,
-159.340909666174,22.0111816067618,141,Kauai Beach Resort Association,Kauai,413,UK-1255,437003013,WWTP,Public,2,11/25/1981,22.011185,-159.340924,
-159.466188670762,21.8943015968703,142,Koloa Gardens Apartment,Kauai,416,UK-1218,426004031,WWTP,Private,1,NULL,21.894305,-159.466203,
-159.475002670625,21.8824135959578,143,Kuhio Shores,Kauai,418,,426005014,WWTP,Private,2,10/11/1974,21.882417,-159.475017,
-159.474886670925,21.8824485966215,144,Lawai Beach Resort,Kauai,420,UK-1348,426005004,WWTP,Private,2,3/29/1982,21.882452,-159.474901,
-159.445607668844,21.870078595864,145,Makahuena Resorts,Kauai,421,UK-1938,428020003,WWTP,Private,2,10/20/2011,21.870082,-159.445622,
-159.441806669125,21.8741895962219,146,Poipu Kai Resort - PH 2,Kauai,424,UK-1292,428028013,WWTP,Private,2,6/12/1980,21.874193,-159.441821,
-159.44605666895,21.8697255952395,147,Poipu Makai Resort,Kauai,425,UK-1830,428020004,WWTP,Private,2,4/18/1977,21.869729,-159.446071,
-159.44658466963,21.8699275961246,148,Poipu Palms,Kauai,426,UK-1236,428020041,WWTP,Private,2,10/11/1974,21.869931,-159.446599,
-159.448012669473,21.8709565955241,149,Poipu Shores,Kauai,427,UK-1338,428019004,WWTP,Private,2,10/14/1977,21.87096,-159.448027,
-159.462928669851,21.8799975960731,150,Poipu Wastewater Reclamation Facility - 1 mgd,Kauai,428,UK-2388,428014000,Reuse R1,Private,4,9/23/2010,21.880001,-159.462943,
