"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"1500000US150030011001","Block Group 1, Census Tract 11, Honolulu County, Hawaii","480","102","138","64","342","104",
"1500000US150030011002","Block Group 2, Census Tract 11, Honolulu County, Hawaii","658","113","297","72","361","112",
"1500000US150030012011","Block Group 1, Census Tract 12.01, Honolulu County, Hawaii","475","82","193","70","282","93",
"1500000US150030012012","Block Group 2, Census Tract 12.01, Honolulu County, Hawaii","586","74","310","69","276","82",
"1500000US150030012021","Block Group 1, Census Tract 12.02, Honolulu County, Hawaii","610","75","339","62","271","78",
"1500000US150030012022","Block Group 2, Census Tract 12.02, Honolulu County, Hawaii","354","64","215","60","139","54",
"1500000US150030013001","Block Group 1, Census Tract 13, Honolulu County, Hawaii","458","107","254","97","204","114",
"1500000US150030013002","Block Group 2, Census Tract 13, Honolulu County, Hawaii","345","93","231","71","114","61",
"1500000US150030013003","Block Group 3, Census Tract 13, Honolulu County, Hawaii","351","70","173","50","178","65",
"1500000US150030013004","Block Group 4, Census Tract 13, Honolulu County, Hawaii","292","71","160","46","132","62",
"1500000US150030014001","Block Group 1, Census Tract 14, Honolulu County, Hawaii","429","57","326","55","103","41",
"1500000US150030014002","Block Group 2, Census Tract 14, Honolulu County, Hawaii","446","53","287","50","159","49",
"1500000US150030015001","Block Group 1, Census Tract 15, Honolulu County, Hawaii","505","98","247","63","258","106",
"1500000US150030015002","Block Group 2, Census Tract 15, Honolulu County, Hawaii","334","69","176","70","158","73",
"1500000US150030015003","Block Group 3, Census Tract 15, Honolulu County, Hawaii","352","70","200","54","152","66",
"1500000US150030016001","Block Group 1, Census Tract 16, Honolulu County, Hawaii","608","108","369","72","239","94",
"1500000US150030016002","Block Group 2, Census Tract 16, Honolulu County, Hawaii","456","100","202","66","254","90",
"1500000US150030016003","Block Group 3, Census Tract 16, Honolulu County, Hawaii","207","55","136","51","71","39",
"1500000US150030017001","Block Group 1, Census Tract 17, Honolulu County, Hawaii","400","98","284","87","116","61",
"1500000US150030017002","Block Group 2, Census Tract 17, Honolulu County, Hawaii","600","76","373","77","227","81",
